SERIAL.NO,TRACK NAME,ARTIST NAME,GENRE,BPM,VALENCE,ACOUSTICNESS,LIVENESS,POPULARITY
1,Senorita,Shawn Mendes,Canadian pop,117,8,75,4,79
2,China,Anuel AA,Reggaeton flow,105,8,61,8,92
3,Boyfriend,Ariana Grande,Dance pop,190,16,70,12,85
4,Beautiful people,Ed Sheeran,Pop,93,8,55,12,86
5,Goodbyes ,Post Malone,Rap,150,11,18,45,94
6,I dont care,Ed Sheeran,Pop,102,9,84,9,84
7,Ramson,Lil Tecca,Trap music,180,7,23,2,92
8,How do you sleep,Sam Smith,pop,111,8,35,15,90
9,Old Town Road ,Lil Nas X,country rap,136,11,64,5,87
10,bad guy,Billie Eilish,electropop,135,10,56,33,95
11,Callaita,Bad Bunny,reggaeton,176,24,24,60,93
12,Loco Contigo,DJ Snake,dance pop,96,15,38,28,86
13,Someone You Loved,Lewis Capaldi,pop,110,11,45,75,88
14,Otro Trago,Sech,panamanian pop,176,6,76,7,87
15,Money in the Grave,Drake,canadian hip hop,101,12,10,10,92
16,No guidance,Chris Brown,dance pop,93,16,14,12,82
17,LA CANCION,J Balvin,latin,176,11,43,15,90
18,Sunflower,Post Malone,dfw rap,90,7,91,56,91
19,Lalala,Y2K,canadian hip hop,130,14,50,18,88
20,Truth Hurts,Lizzo,escape room,158,12,41,11,91
21,Piece of your Heart,MEDUZA,pop house,124,7,63,4,91
22,Panini,Lil Nas X,country rap,154,12,48,34,91
23,No Me Conoce,Jhay Cortey,reggaeton flow,92,9,58,14,83
24,Soltera,Lunay,latin,92,44,80,36,91
25,bad guy,Billie Eilish,electropop,135,12,68,25,89
26,If I cant have you,Shawn Mendes,canadian pop,124,13,87,49,70
27,Dance Monkey,Tones and I,australian pop,98,18,54,69,83
28,Its you,Ali Gatie,canadian hip hop,96,19,40,37,89
29,Con Calma,Daddy Yankee,latin,94,6,66,11,91
30,QUE PRETENDES,J Balvin,latin,93,36,94,3,89
31,Takeaway,The Chainsmokers,edm,85,10,36,12,84
32,7 Rings,Ariana Grande,dance pop,140,9,33,59,89
33,vxvxvx,Maluma,reggaeton,96,9,68,22,89
34,The London,Young Thug,atl hip hop,98,13,18,2,89
35,Never Really Over,Katy Perry,dance pop,100,32,39,19,89
36,Summer days,Martin Garris,big room,114,14,32,18,89
37,Otro Trago,Sech,panamanian pop,176,11,62,14,91
38,Antisocial,Ed Sheeran,pop,152,36,91,13,87
39,fxck I m lonely,Lauv,boy band,138,11,95,4,80
40,Higher Love,Kygo,dance pop,95,6,68,48,78
41,You need to calm down,Taylor Swift,edm,104,10,40,2,88
42,Shallow,Lady Gaga,dance pop,85,7,73,1,90
43,Talk,Khalid,dance pop,96,23,32,37,87
44,Con altura,ROSALIA,pop,136,6,35,5,84
45,One Thing Right,Marshmello,r&b en espanol,98,5,75,39,88
46,Te Robare,Nicky Jam,brostep,88,58,44,7,88
47,Happier,Marshmello,latin,176,8,80,24,88
48,Call you mine,The Chainsmokers,brostep,100,17,67,19,88
49,Cross Me,Ed Sheeran,edm,104,41,50,23,88
50,Sucker,Jonas Brothers,Pop,95,7,61,21,82
